id,averageRating,reviewsNum,name,coords/0,coords/1
1260147327,4,307,Московские товары,55.775247,37.485821
1004738327,4.1,317,Торговый центр,55.664087,37.482179
1177959849,4.4,5640,Галерея Атлантис,55.582932,37.595229
1066492017,4.7,13897,Глобал Сити,55.622609,37.605939
1045137134,4.3,1702,Мини-Молл,55.73921,37.484381
1689709996,4.4,5789,Мандарин,55.85504,37.355537
1117095330,4.3,2997,Ховрино,55.867025,37.494138
1047741225,4.1,343,Европа,55.778636,37.479832
1071984825,4.3,1563,Матвеевский,55.702579,37.46657
1378456387,3.9,717,Пассаж,55.793402,37.492513
1153674265,4.8,8606,XL Outlet,55.891841,37.748783
1087675658,4.3,343,Белорусский торгово-выставочный центр,55.831909,37.625562
94926387332,5,2222,ТЦ Саларьево,55.623178,37.441585
117378564554,3.9,166,Торговый центр,55.735889,37.479696
1186009338,4.1,1962,ТЦ Кунцево,55.74058,37.417393
89724602393,4,145,Торговая галерея,55.797166,37.717309
1039939322,4.3,3023,Ареал,55.643673,37.526264
79206390286,4.1,2132,Кондор,55.869617,37.666863
1276579514,4.3,1724,Сормовский,55.71083,37.812034
213784097416,4.8,6847,5 Планет,55.995695,37.537009
1001604682,4.6,6727,Столица,55.619605,37.752185
1091680631,4.4,3611,Молодежный,55.718582,37.420287
1140519390,3.9,142,Торговый центр,55.793311,37.565684
119187895024,4.4,708,Плаза,55.846937,37.357415
1266735201,4.3,753,Динамо,55.793212,37.559929
1198609266,4.4,2728,Ясенево,55.611951,37.537661
1740677279,4.3,1044,Мобильный,55.794381,37.590802
21181518311,3.7,546,Место встречи Солнцево,55.652797,37.393274
1123694020,4.4,7206,Митино,55.847736,37.36006
1139596807,4.1,3500,РТС,55.879268,37.547026
77318935351,4.3,327,Лухмановский пассаж,55.714605,37.899748
1058114895,4.3,1865,Мал,55.864989,37.604079
1106385834,4.5,17050,Ладья,55.846219,37.358447
103798867013,4.1,582,Филёвский,55.751794,37.514051
196417691093,4.3,2911,Южный,55.621879,37.611308
1162831234,4.4,5539,Прага,55.600874,37.609244
1120978374,4.2,605,Фили,55.742642,37.499616
209809476826,4.3,3073,Baby Store,55.823619,37.500261
1015826312,4.1,293,Торговый центр,55.625479,37.483449
1135124734,3.9,419,Планета,55.738515,37.661311
1013078859,4.1,2400,Кантемировский,55.637715,37.656273
25938278642,4.5,2645,Лес,55.822554,37.82336
26243389586,4.3,675,Шоколад,55.740683,37.658174
1013814700,4.3,2726,Будапешт,55.70436,37.765802
88764434583,4.1,480,Старк,55.626339,37.666494
127560708723,4,73,Торговый центр,55.803334,37.513308
89949623783,4,529,Семеновский пассаж,55.782054,37.716265
1119385644,4.2,3475,Гвоздь,55.830711,37.396746
1040313828,4.4,9464,Бутырский рынок,55.794259,37.578583
124260289598,4.9,4881,Орбион,55.699559,37.343975
1045484363,4.3,342,Ньюдэл,55.880705,37.694767
1732662883,5,24135,Дизайн завод,55.805128,37.585258
1134826985,4.2,2364,Метр квадратный,55.720945,37.697221
